Sl. No.,C,Si,Mn,P,Ni,Cr,Mo,Mn/S,CR,TT,YS,UTS,EL,RA,IS
1,0.32,0.23,1.28,0.028,0.85,0.46,0.16,38,38,580,934,1019,18,54,35
2,0.32,0.23,1.28,0.028,0.85,0.46,0.16,38,16,620,736,845,22,59,42
3,0.33,0.19,1.45,0.026,0.89,0.56,0.12,73,16,605,785,888,21,60,72
4,0.33,0.19,1.45,0.026,0.89,0.56,0.12,73,7,625,693,824,21.5,57,43
5,0.35,0.19,1.5,0.026,0.93,0.57,0.18,75,7,650,681,839,21.5,58,89
6,0.35,0.19,1.5,0.026,0.93,0.57,0.18,75,3,650,730,870,24,56,87
7,0.35,0.19,1.33,0.026,0.91,0.43,0.15,67,3,550,683,850,21,57,46
8,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,38,450,1163,1222,15,50,15
9,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,38,500,1069,1131,18.5,55,26
10,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,38,550,906,993,19,55.5,49
11,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,38,600,786,906,24,61.5,75
12,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,38,650,718,821,25.5,66,93
13,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,38,675,692,763,27,64.5,94
14,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,38,700,575,753,27.5,64.5,90
15,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,12,450,727,888,21,56.5,23
16,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,12,500,645,821,24,62.5,52
17,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,12,550,622,783,26,63,70
18,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,12,600,579,757,27,66,91
19,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,12,625,582,737,27.5,61,80
20,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,7,500,639,800,23,58,36
21,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,7,550,614,777,25,60,53
22,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,7,600,623,777,24,63,70
23,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,7,625,543,707,27,64.5,79
24,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,7,675,870,1008,14,46.5,93
25,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,3,400,683,850,21,57,19
26,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,3,500,661,829,23,57.5,47
27,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,3,575,620,772,24,60,74
28,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,3,600,588,754,25,61.5,61
29,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,3,625,558,713,27,64.5,75
30,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,3,675,750,903,18.5,52,82
31,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,3,700,667,835,22,56.5,20
32,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,118,400,941,1002,20,56,24
33,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,118,500,855,912,22.5,61,42
34,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,118,550,745,810,24.5,63.5,79
35,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,118,600,710,778,26,64,84
36,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,34,400,985,1078,17,52.5,21
37,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,34,500,813,920,21,61,45
38,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,34,550,742,853,24,63,55
39,0.35,0.25,0.33,0.032,0.91,0.43,0.15,8,34,600,663,800,25,65,81
